Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-11-28,Marcha nórdica por Madrid,15:30,De 15 a 64 años,90 minutos,La Chopera,"Paseo de Fernán Núñez, 3, 28009, Madrid",,
2023-11-28,Yoga,18:00,De 15 a 64 años,50 minutos,La Chopera,"Paseo de Fernán Núñez, 3, 28009, Madrid",,
2023-11-28,Fuerza en sala multitrabajo,"17:00, 20:00",A partir de 16 años,60 minutos,La Elipa,"Calle Alcalde Garrido Juaristi, 17, 28030, Madrid",,
2023-11-28,Marcha nórdica por Madrid,11:30,De 15 a 64 años,90 minutos,La Elipa,"Calle Alcalde Garrido Juaristi, 17, 28030, Madrid",,
2023-11-28,Pilates,19:00,De 15 a 64 años,60 minutos,La Elipa,"Calle Alcalde Garrido Juaristi, 17, 28030, Madrid",,
2023-11-28,Tenis acondicionamiento,21:00,De 17 a 64 años,60 minutos,La Elipa,"Calle Alcalde Garrido Juaristi, 17, 28030, Madrid",,
2023-11-28,Marcha nórdica por Madrid,12:00,De 15 a 64 años,90 minutos,La Fundi,"Calle Alicante, 14, 28045, Arganzuela.",,
2023-11-28,Pilates MesD,21:00,De 16 a 64 años,60 minutos,La Fundi,"Calle Alicante, 14, 28045, Arganzuela.",,
2023-11-28,Autoprotección para las mujeres,15:00,De 15 a 64 años,120 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555.0
2023-11-28,Badminton,"16:15, 20:30",De 15 a 64 años,60 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555.0
2023-11-28,Cubo Gym Cross Training/Funcional,"18:30, 19:30",De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555.0
2023-11-28,Fitness acuatico,16:15,De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555.0
2023-11-28,Fuerza CORE,19:30,De 15 a 64 años,30 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555.0
2023-11-28,Gimnasia acuática,"12:15, 20:15",De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555.0
2023-11-28,Natación acondicionamiento,"13:00, 15:30",De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555.0
2023-11-28,Natación acondicionamiento,"19:30, 20:15",De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555.0
